index,name,age,height,nationality,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
17,Bernardo Silva,28,1.73,Portugal,80.0,100.0,midfield - Attacking Midfield,20,left,Man City,2025-06-30,2017-07-01,Gestifute,adidas,EPL
18,Cole Palmer,21,1.82,England,15.0,15.0,midfield - Attacking Midfield,80,left,Man City,2026-06-30,2021-07-01,CAA Base Ltd,Nike,EPL
19,Phil Foden,22,1.71,England,110.0,110.0,Attack - Left Winger,47,left,Man City,2027-06-30,2017-07-01,,Nike,EPL
20,Jack Grealish,27,1.8,England Ireland,70.0,100.0,Attack - Left Winger,10,right,Man City,2027-06-30,2021-08-05,CAA Stellar,Nike,EPL
21,Riyad Mahrez,32,1.79,Algeria France,30.0,60.0,Attack - Right Winger,26,left,Man City,2025-06-30,2018-07-10,,Nike,EPL
22,Erling Haaland,22,1.95,Norway,170.0,170.0,Attack - Centre-Forward,9,left,Man City,2027-06-30,2022-07-01,Rafaela Pimenta,Nike,EPL
23,Julián Álvarez,23,1.7,Argentina,50.0,50.0,Attack - Centre-Forward,19,right,Man City,2028-06-30,2022-01-31,Fernando Hidalgo,adidas,EPL
24,Edouard Mendy,31,1.94,Senegal Guinea-Bissau,18.0,32.0,Goalkeeper,16,right,Chelsea,2025-06-30,2020-09-24,LIAN Sports Group,adidas,EPL
25,Kepa Arrizabalaga,28,1.86,Spain,15.0,60.0,Goalkeeper,1,right,Chelsea,2025-06-30,2018-08-08,AC Talent,adidas,EPL
26,Gabriel Slonina,19,1.93,U.S.A. Poland,8.0,8.0,Goalkeeper,36,right,Chelsea,2028-06-30,2022-08-02,SXI,,EPL
27,Marcus Bettinelli,30,1.93,England Italy,2.0,4.0,Goalkeeper,13,right,Chelsea,2026-06-30,2021-07-28,World in Motion,,EPL
28,Wesley Fofana,22,1.86,France Cote d'Ivoire,65.0,65.0,Defender - Centre-Back,33,right,Chelsea,2029-06-30,2022-08-31,TTMA,adidas,EPL
29,Benoît Badiashile,22,1.94,France DR Congo,40.0,40.0,Defender - Centre-Back,4,left,Chelsea,2030-06-30,2023-01-05,,adidas,EPL
30,Kalidou Koulibaly,31,1.86,Senegal France,25.0,75.0,Defender - Centre-Back,26,right,Chelsea,2026-06-30,2022-07-16,LIAN Sports Group,Puma,EPL
31,Trevoh Chalobah,23,1.92,England Sierra Leone,22.0,22.0,Defender - Centre-Back,14,right,Chelsea,2028-06-30,2021-07-01,CAA Base Ltd,Nike,EPL
32,Thiago Silva,38,1.81,Brazil France,2.5,40.0,Defender - Centre-Back,6,right,Chelsea,2024-06-30,2020-08-28,Paulo Tonietto,Nike,EPL
33,Marc Cucurella,24,1.73,Spain,40.0,55.0,Defender - Left-Back,32,left,Chelsea,2028-06-30,2022-08-05,EMG Mundial,Puma,EPL
34,Ben Chilwell,26,1.8,England,35.0,50.0,Defender - Left-Back,21,left,Chelsea,2027-06-30,2020-08-26,CAA Stellar,Nike,EPL
35,Lewis Hall,18,1.79,England,8.0,8.0,Defender - Left-Back,67,left,Chelsea U21,2025-06-30,2022-01-01,Wasserman,,Other
36,Reece James,23,1.8,England,70.0,70.0,Defender - Right-Back,24,right,Chelsea,2028-06-30,2019-07-01,Unique Sports Group,Nike,EPL
37,César Azpilicueta,33,1.78,Spain,8.0,40.0,Defender - Right-Back,28,right,Chelsea,2024-06-30,2012-08-24,Relatives,adidas,EPL
38,Enzo Fernández,22,1.78,Argentina,85.0,85.0,midfield - Defensive Midfield,5,right,Chelsea,2031-06-30,2023-01-31,DE 9 FÚTBOL,,EPL
39,N'Golo Kanté,32,1.71,France Mali,20.0,100.0,midfield - Defensive Midfield,7,right,Chelsea,2023-06-30,2016-07-16,KDS FM,adidas,EPL
40,Denis Zakaria,26,1.9,Switzerland DR Congo,20.0,45.0,midfield - Defensive Midfield,20,right,Chelsea,2023-06-30,2022-09-01,HCM Sports ...,adidas,EPL
41,Mateo Kovacic,29,1.77,Croatia,40.0,45.0,midfield - Central Midfield,8,right,Chelsea,2024-06-30,2019-07-01,VPA Sports,Nike,EPL
42,Conor Gallagher,23,1.82,England,32.0,32.0,midfield - Central Midfield,23,right,Chelsea,2025-06-30,2022-07-01,Elite Management ...,,EPL
43,Ruben Loftus-Cheek,27,1.91,England Guyana,25.0,30.0,midfield - Central Midfield,12,right,Chelsea,2024-06-30,2015-01-01,CAA Stellar,adidas,EPL
44,Carney Chukwuemeka,19,1.87,England Nigeria,15.0,15.0,midfield - Central Midfield,30,right,Chelsea,2028-06-30,2022-08-04,,,EPL
45,Mason Mount,24,1.81,England,65.0,75.0,midfield - Attacking Midfield,19,right,Chelsea,2024-06-30,2019-07-01,Relatives,Nike,EPL
46,Kai Havertz,23,1.93,Germany,60.0,90.0,midfield - Attacking Midfield,29,left,Chelsea,2025-06-30,2020-09-04,ROOF,Nike,EPL
47,Mykhaylo Mudryk,22,1.75,Ukraine,60.0,60.0,Attack - Left Winger,15,right,Chelsea,2031-06-30,2023-01-15,ALIK FOOTBALL ...,Nike,EPL
48,Raheem Sterling,28,1.7,England Jamaica,60.0,160.0,Attack - Left Winger,17,right,Chelsea,2027-06-30,2022-07-13,Relatives,New Balance,EPL
49,Christian Pulisic,24,1.77,U.S.A. Croatia,32.0,60.0,Attack - Right Winger,10,right,Chelsea,2024-06-30,2019-01-02,Relatives,Puma,EPL
50,Noni Madueke,21,1.82,England Nigeria,28.0,28.0,Attack - Right Winger,31,left,Chelsea,2030-06-30,2023-01-20,,adidas,EPL
51,Hakim Ziyech,30,1.81,Morocco Netherlands,18.0,50.0,Attack - Right Winger,22,left,Chelsea,2025-06-30,2020-07-01,HZ INTERNATIONAL,Nike,EPL
52,João Félix,23,1.81,Portugal,50.0,100.0,Attack - Second Striker,11,right,Chelsea,2023-06-30,2023-01-11,Gestifute,adidas,EPL
53,Armando Broja,21,1.91,Albania England,30.0,30.0,Attack - Centre-Forward,18,right,Chelsea,2028-06-30,2022-07-01,FA Sport,Nike,EPL
54,David Datro Fofana,20,1.81,Cote d'Ivoire,10.0,10.0,Attack - Centre-Forward,27,right,Chelsea,2029-06-30,2023-01-01,Aneke/PMG,Nike,EPL
55,Pierre-Emerick Aubameyang,33,1.86,Gabon France,7.0,75.0,Attack - Centre-Forward,9,right,Chelsea,2024-06-30,2022-09-01,Premier Sports ...,Nike,EPL
56,Aaron Ramsdale,25,1.9,England,38.0,38.0,Goalkeeper,1,right,Arsenal,2025-06-30,2021-08-20,World in Motion,adidas,EPL
57,Matt Turner,28,1.91,U.S.A. Lithuania,5.0,5.0,Goalkeeper,30,right,Arsenal,2025-06-30,2022-07-01,Wasserman,,EPL
58,William Saliba,22,1.92,France Cameroon,55.0,55.0,Defender - Centre-Back,12,right,Arsenal,2024-06-30,2019-07-25,ND SPORTS MANAGEMENT,,EPL
59,Gabriel Magalhães,25,1.9,Brazil,50.0,50.0,Defender - Centre-Back,6,left,Arsenal,2027-06-30,2020-09-01,Bertolucci Sports,,EPL
60,Jakub Kiwior,23,1.89,Poland,20.0,20.0,Defender - Centre-Back,15,left,Arsenal,2028-06-30,2023-01-23,FairSport,,EPL
61,Rob Holding,27,1.89,England,10.0,18.0,Defender - Centre-Back,16,right,Arsenal,2024-06-30,2016-07-22,CAA Stellar,Nike,EPL
62,Oleksandr Zinchenko,26,1.75,Ukraine,40.0,40.0,Defender - Left-Back,35,left,Arsenal,2026-06-30,2022-07-22,Anatoliy Patuk,Puma,EPL
63,Kieran Tierney,25,1.8,Scotland Isle of Man,25.0,32.0,Defender - Left-Back,3,left,Arsenal,2026-06-30,2019-08-08,CAA Stellar,adidas,EPL
64,Ben White,25,1.86,England,50.0,50.0,Defender - Right-Back,4,right,Arsenal,2026-06-30,2021-07-30,,adidas,EPL
65,Takehiro Tomiyasu,24,1.88,Japan,25.0,25.0,Defender - Right-Back,18,right,Arsenal,2025-06-30,2021-08-31,UDN SPORTS,,EPL
66,Thomas Partey,29,1.85,Ghana,38.0,50.0,midfield - Defensive Midfield,5,right,Arsenal,2025-06-30,2020-10-05,JJ SPORT,adidas,EPL
67,Jorginho,31,1.78,Italy Brazil,35.0,65.0,midfield - Defensive Midfield,20,right,Arsenal,2024-06-30,2023-01-31,Brezilya Agency,Puma,EPL
68,Mohamed Elneny,30,1.79,Egypt,9.0,11.0,midfield - Defensive Midfield,25,right,Arsenal,2024-06-30,2016-01-14,CAA Base Ltd,adidas,EPL
69,Granit Xhaka,30,1.86,Switzerland,28.0,50.0,midfield - Central Midfield,34,left,Arsenal,2024-06-30,2016-07-01,Signature - ISCM AG,Puma,EPL
70,Martin Ødegaard,24,1.78,Norway,80.0,80.0,midfield - Attacking Midfield,8,left,Arsenal,2025-06-30,2021-08-20,Nordic Sky,Nike,EPL
71,Emile Smith Rowe,22,1.82,England,38.0,40.0,midfield - Attacking Midfield,10,right,Arsenal,2026-06-30,2020-08-01,Jordan Wise,Nike,EPL
72,Fábio Vieira,22,1.7,Portugal,27.0,30.0,midfield - Attacking Midfield,21,left,Arsenal,2027-06-30,2022-07-01,Gestifute,,EPL
73,Gabriel Martinelli,21,1.78,Brazil Italy,70.0,70.0,Attack - Left Winger,11,right,Arsenal,2027-06-30,2019-07-02,TFM Agency,adidas,EPL
74,Leandro Trossard,28,1.72,Belgium,30.0,30.0,Attack - Left Winger,19,right,Arsenal,2026-06-30,2023-01-20,JC ...,,EPL
75,Bukayo Saka,21,1.78,England Nigeria,110.0,110.0,Attack - Right Winger,7,left,Arsenal,2024-06-30,2019-07-01,Elite Project Group ...,New Balance,EPL
76,Reiss Nelson,23,1.75,England Jamaica,7.0,17.0,Attack - Right Winger,24,right,Arsenal,2023-06-30,2019-07-01,Relatives,adidas,EPL
77,Gabriel Jesus,26,1.75,Brazil,75.0,80.0,Attack - Centre-Forward,9,right,Arsenal,2027-06-30,2022-07-04,Energy Sports,adidas,EPL
78,Eddie Nketiah,23,1.75,England Ghana,25.0,25.0,Attack - Centre-Forward,14,right,Arsenal,2027-06-30,2019-01-01,Elite Project Group ...,Nike,EPL
79,Alisson,30,1.93,Brazil,45.0,90.0,Goalkeeper,1,right,Liverpool,2027-06-30,2018-07-19,NWS - Neis World ...,Nike,EPL
80,Caoimhín Kelleher,24,1.88,Ireland,8.0,8.0,Goalkeeper,62,right,Liverpool,2026-06-30,2019-07-01,CAA Stellar,,EPL
81,Adrián,36,1.9,Spain,1.0,9.0,Goalkeeper,13,right,Liverpool,2023-06-30,2019-08-05,Bahía Internacional,adidas,EPL
82,Virgil van Dijk,31,1.93,Netherlands Suriname,45.0,100.0,Defender - Centre-Back,4,right,Liverpool,2025-06-30,2018-01-01,ROOF,Nike,EPL
83,Ibrahima Konaté,23,1.94,France Mali,35.0,45.0,Defender - Centre-Back,5,right,Liverpool,2026-06-30,2021-07-01,CAA Stellar,Nike,EPL
84,Joe Gomez,25,1.88,England The Gambia,30.0,42.0,Defender - Centre-Back,2,right,Liverpool,2027-06-30,2015-07-01,Wasserman,Nike,EPL
85,Joel Matip,31,1.95,Cameroon Germany,16.0,40.0,Defender - Centre-Back,32,right,Liverpool,2024-06-30,2016-07-01,ASBW Sport Marketing,adidas,EPL
86,Nathaniel Phillips,26,1.9,England,6.0,8.0,Defender - Centre-Back,47,right,Liverpool,2025-06-30,2019-07-01,PLG,,EPL
87,Rhys Williams,22,1.95,England Jamaica,3.0,5.0,Defender - Centre-Back,46,right,Liverpool,2026-06-30,2020-07-01,CAA Stellar,Puma,EPL
88,Andrew Robertson,29,1.78,Scotland,48.0,80.0,Defender - Left-Back,26,left,Liverpool,2026-06-30,2017-07-21,PLG,Nike,EPL
89,Konstantinos Tsimikas,27,1.79,Greece,18.0,18.0,Defender - Left-Back,21,left,Liverpool,2025-06-30,2020-08-10,Prosport ...,adidas,EPL
90,Trent Alexander-Arnold,24,1.8,England,65.0,110.0,Defender - Right-Back,66,right,Liverpool,2025-06-30,2016-07-01,PLG,Under Armour,EPL
91,Calvin Ramsay,19,1.77,Scotland,5.0,5.0,Defender - Right-Back,22,right,Liverpool,2027-06-30,2022-07-01,,,EPL
92,Fabinho,29,1.88,Brazil,45.0,70.0,midfield - Defensive Midfield,3,right,Liverpool,2026-06-30,2018-07-01,Gestifute,adidas,EPL
93,Stefan Bajcetic,18,1.85,Spain Serbia,13.0,13.0,midfield - Defensive Midfield,43,right,Liverpool,2027-06-30,2022-07-01,F.J.VILLAVERDE,adidas,EPL
94,Thiago,32,1.74,Spain Brazil,18.0,70.0,midfield - Central Midfield,6,right,Liverpool,2024-06-30,2020-09-18,The Player ...,adidas,EPL
95,Naby Keïta,28,1.72,Guinea,17.0,65.0,midfield - Central Midfield,8,right,Liverpool,2023-06-30,2018-07-01,ROOF,Nike,EPL
96,Curtis Jones,22,1.85,England,17.0,30.0,midfield - Central Midfield,17,right,Liverpool,2027-06-30,2020-07-01,Wasserman,Nike,EPL
97,Arthur Melo,26,1.72,Brazil,15.0,70.0,midfield - Central Midfield,29,right,Liverpool,2023-06-30,2022-09-01,P&P Sport ...,Nike,EPL
98,Jordan Henderson,32,1.87,England,10.0,35.0,midfield - Central Midfield,14,right,Liverpool,2025-06-30,2011-07-01,ROOF,,EPL
99,Alex Oxlade-Chamberlain,29,1.75,England,10.0,40.0,midfield - Central Midfield,15,right,Liverpool,2023-06-30,2017-08-31,Colossal Sports ...,Nike,EPL
100,James Milner,37,1.75,England,2.0,21.0,midfield - Central Midfield,7,right,Liverpool,2023-06-30,2015-07-01,,Nike,EPL
101,Harvey Elliott,20,1.7,England,35.0,35.0,midfield - Attacking Midfield,19,left,Liverpool,2027-06-30,2021-07-01,ROOF,New Balance,EPL
102,Fábio Carvalho,20,1.7,Portugal England,20.0,20.0,midfield - Attacking Midfield,28,right,Liverpool,2027-06-30,2022-07-01,Concilium Sport,Nike,EPL
103,Luis Díaz,26,1.8,Colombia,75.0,75.0,Attack - Left Winger,23,right,Liverpool,2027-06-30,2022-01-30,Nomi Sports,,EPL
104,Cody Gakpo,24,1.93,Netherlands Togo,60.0,60.0,Attack - Left Winger,18,right,Liverpool,2028-06-30,2023-01-01,SEG,Puma,EPL
105,Diogo Jota,26,1.78,Portugal,55.0,60.0,Attack - Left Winger,20,right,Liverpool,2027-06-30,2020-09-19,Gestifute,adidas,EPL
106,Mohamed Salah,30,1.75,Egypt,70.0,150.0,Attack - Right Winger,11,left,Liverpool,2025-06-30,2017-07-01,,adidas,EPL
107,Darwin Núñez,23,1.87,Uruguay,70.0,70.0,Attack - Centre-Forward,27,right,Liverpool,2028-06-30,2022-07-01,Gestifute,,EPL
108,Roberto Firmino,31,1.81,Brazil,22.0,90.0,Attack - Centre-Forward,9,right,Liverpool,2023-06-30,2015-07-01,ROGON,adidas,EPL
109,David de Gea,32,1.89,Spain,15.0,70.0,Goalkeeper,1,right,Man Utd,2023-06-30,2011-07-01,Relatives,adidas,EPL
110,Jack Butland,30,1.96,England,1.5,22.0,Goalkeeper,31,right,Man Utd,2023-06-30,2023-01-06,Triple S Sports,Nike,EPL
111,Tom Heaton,37,1.88,England,0.6,6.0,Goalkeeper,22,right,Man Utd,2023-06-30,2021-07-02,10Ten Football,,EPL
112,Lisandro Martínez,25,1.75,Argentina,50.0,50.0,Defender - Centre-Back,6,left,Man Utd,2027-06-30,2022-07-27,Score Futbol,,EPL
113,Raphaël Varane,30,1.91,France Martinique,40.0,80.0,Defender - Centre-Back,19,right,Man Utd,2025-06-30,2021-08-14,CAA Base Ltd,Puma,EPL
114,Harry Maguire,30,1.94,England,25.0,70.0,Defender - Centre-Back,5,right,Man Utd,2025-06-30,2019-08-05,Triple S Sports,Puma,EPL
115,Victor Lindelöf,28,1.87,Sweden,15.0,35.0,Defender - Centre-Back,2,right,Man Utd,2024-06-30,2017-07-01,HCM Sports ...,,EPL
116,Phil Jones,31,1.85,England,2.0,20.0,Defender - Centre-Back,4,right,Man Utd,2023-06-30,2011-07-01,Wasserman,adidas,EPL
117,Teden Mengi,21,1.86,England Angola,2.0,2.0,Defender - Centre-Back,43,right,Man Utd,2024-06-30,2020-07-01,CLOSEVIEW,,EPL
118,Luke Shaw,27,1.78,England,35.0,42.0,Defender - Left-Back,23,left,Man Utd,2027-06-30,2014-07-01,CAA Stellar,adidas,EPL
119,Tyrell Malacia,23,1.69,Netherlands Curacao,22.0,22.0,Defender - Left-Back,12,left,Man Utd,2026-06-30,2022-07-05,Relatives,,EPL
120,Brandon Williams,22,1.8,England,10.0,12.0,Defender - Left-Back,33,right,Man Utd,2024-06-30,2019-07-01,,Puma,EPL
121,Diogo Dalot,24,1.83,Portugal,35.0,35.0,Defender - Right-Back,20,right,Man Utd,2024-06-30,2018-07-01,Proeleven S.A.,Nike,EPL
122,Aaron Wan-Bissaka,25,1.83,England DR Congo,22.0,40.0,Defender - Right-Back,29,right,Man Utd,2024-06-30,2019-07-01,Unique Sports Group,adidas,EPL
123,Casemiro,31,1.85,Brazil Spain,50.0,80.0,midfield - Defensive Midfield,18,right,Man Utd,2026-06-30,2022-08-22,Best of You,,EPL
124,Scott McTominay,26,1.91,Scotland England,25.0,35.0,midfield - Defensive Midfield,39,right,Man Utd,2025-06-30,2017-07-01,,adidas,EPL
125,Christian Eriksen,31,1.82,Denmark,25.0,100.0,midfield - Central Midfield,14,right,Man Utd,2025-06-30,2022-07-15,The Talents ...,Nike,EPL
126,Marcel Sabitzer,29,1.77,Austria,20.0,42.0,midfield - Central Midfield,15,right,Man Utd,2023-06-30,2023-01-31,ROGON,,EPL
127,Fred,30,1.69,Brazil,20.0,50.0,midfield - Central Midfield,17,left,Man Utd,2024-06-30,2018-07-01,Fabio Mello Sports,,EPL
128,Donny van de Beek,26,1.84,Netherlands,17.0,55.0,midfield - Central Midfield,34,right,Man Utd,2025-06-30,2020-09-02,HCM Sports ...,adidas,EPL
129,Zidane Iqbal,20,1.81,Iraq England,0.8,0.8,midfield - Central Midfield,55,right,Man Utd,2025-06-30,2023-01-01,SEG,Puma,EPL
130,Kobbie Mainoo,18,1.75,England Ghana,0.8,0.8,midfield - Central Midfield,73,right,Man Utd,2027-06-30,2023-01-01,CAA Stellar,,EPL
131,Bruno Fernandes,28,1.79,Portugal,75.0,90.0,midfield - Attacking Midfield,8,right,Man Utd,2026-06-30,2020-01-29,MRP.POSITIONUMBER,Nike,EPL
132,Marcus Rashford,25,1.85,England St. Kitts & Nevis,80.0,85.0,Attack - Left Winger,10,right,Man Utd,2024-06-30,2016-01-01,Relatives,Nike,EPL
133,Jadon Sancho,23,1.8,England Jamaica,55.0,130.0,Attack - Left Winger,25,right,Man Utd,2026-06-30,2021-07-23,Elite Project Group ...,Nike,EPL
134,Anthony Elanga,21,1.78,Sweden Cameroon,25.0,25.0,Attack - Left Winger,36,right,Man Utd,2026-06-30,2022-01-01,CAA Stellar,Nike,EPL
135,Alejandro Garnacho,18,1.8,Argentina Spain,25.0,25.0,Attack - Left Winger,49,right,Man Utd,2028-06-30,2022-07-01,#LEADERS,Nike,EPL
136,Antony,23,1.72,Brazil,70.0,75.0,Attack - Right Winger,21,left,Man Utd,2027-06-30,2022-08-30,4ComM,Puma,EPL
137,Facundo Pellistri,21,1.74,Uruguay Spain,3.0,7.0,Attack - Right Winger,28,right,Man Utd,2025-06-30,2020-10-05,CAA Stellar,,EPL
138,Mason Greenwood,21,1.81,England,,50.0,Attack - Right Winger,11,both,Man Utd,2025-06-30,2019-07-01,,,EPL
139,Anthony Martial,27,1.81,France Guadeloupe,15.0,65.0,Attack - Centre-Forward,9,right,Man Utd,2024-06-30,2015-09-01,USFA Management,Nike,EPL
140,Wout Weghorst,30,1.97,Netherlands,14.0,30.0,Attack - Centre-Forward,27,right,Man Utd,2023-06-30,2023-01-13,One II Agency,adidas,EPL
141,Hugo Lloris,36,1.88,France,4.0,30.0,Goalkeeper,1,left,Tottenham,2024-06-30,2012-08-31,,Nike,EPL
142,Fraser Forster,35,2.01,England,1.5,15.0,Goalkeeper,20,right,Tottenham,2024-06-30,2022-07-01,CAA Stellar,Under Armour,EPL
143,Alfie Whiteman,24,1.88,England,0.5,1.0,Goalkeeper,41,right,Tottenham,2025-06-30,2019-07-01,Remington Ellis ...,,EPL
144,Brandon Austin,24,1.88,England U.S.A.,0.3,0.3,Goalkeeper,40,right,Tottenham,2024-06-30,2021-08-01,Unique Sports Group,Under Armour,EPL
145,Cristian Romero,25,1.85,Argentina,60.0,60.0,Defender - Centre-Back,17,right,Tottenham,2027-06-30,2022-08-30,Ciro Palermo,,EPL
146,Eric Dier,29,1.88,England Portugal,25.0,40.0,Defender - Centre-Back,15,right,Tottenham,2024-06-30,2014-07-31,,Nike,EPL
147,Davinson Sánchez,26,1.87,Colombia,20.0,60.0,Defender - Centre-Back,6,right,Tottenham,2024-06-30,2017-08-23,Villarreal & Schena,Nike,EPL
148,Clément Lenglet,27,1.86,France,12.0,60.0,Defender - Centre-Back,34,left,Tottenham,2023-06-30,2022-07-08,Wasserman,Nike,EPL
149,Japhet Tanganga,24,1.84,England DR Congo,9.0,15.0,Defender - Centre-Back,25,right,Tottenham,2025-06-30,2020-01-01,RDF Football,,EPL
150,Ben Davies,30,1.81,Wales,20.0,25.0,Defender - Left-Back,33,left,Tottenham,2025-06-30,2014-07-23,CAA Stellar,adidas,EPL
151,Pedro Porro,23,1.73,Spain,35.0,35.0,Defender - Right-Back,23,right,Tottenham,2023-06-30,2023-01-31,CAA Base Ltd,Nike,EPL
152,Emerson Royal,24,1.83,Brazil Spain,25.0,30.0,Defender - Right-Back,12,right,Tottenham,2026-06-30,2021-08-31,,,EPL
153,Oliver Skipp,22,1.75,England,15.0,20.0,midfield - Defensive Midfield,4,right,Tottenham,2027-06-30,2018-07-01,ARETÉ,,EPL
154,Pierre-Emile Höjbjerg,27,1.85,Denmark France,45.0,45.0,midfield - Central Midfield,5,right,Tottenham,2025-06-30,2020-08-11,Gol International,adidas,EPL
155,Rodrigo Bentancur,25,1.87,Uruguay,40.0,50.0,midfield - Central Midfield,30,right,Tottenham,2026-06-30,2022-01-31,Back Sports S.A.,,EPL
156,Yves Bissouma,26,1.82,Mali Cote d'Ivoire,25.0,35.0,midfield - Central Midfield,38,right,Tottenham,2026-06-30,2022-07-01,AMS CONSULTING,Nike,EPL
157,Pape Matar Sarr,20,1.84,Senegal,15.0,20.0,midfield - Central Midfield,29,right,Tottenham,2026-06-30,2021-08-27,,,EPL
158,Ryan Sessegnon,22,1.78,England,22.0,35.0,midfield - Left Midfield,19,left,Tottenham,2025-06-30,2019-08-08,Unique Sports Group,Nike,EPL
159,Ivan Perisic,34,1.86,Croatia,10.0,45.0,midfield - Left Midfield,14,both,Tottenham,2024-06-30,2022-07-01,,,EPL
160,Heung-min Son,30,1.84,"Korea, South",60.0,90.0,Attack - Left Winger,7,both,Tottenham,2025-06-30,2015-08-28,CAA Base Ltd,adidas,EPL
161,Arnaut Danjuma,26,1.78,Netherlands Nigeria,27.0,50.0,Attack - Left Winger,16,right,Tottenham,2023-06-30,2023-01-25,Panthera Sports,,EPL
162,Dejan Kulusevski,23,1.86,Sweden North Macedonia,55.0,55.0,Attack - Right Winger,21,left,Tottenham,2023-06-30,2022-01-31,World Soccer Agency,,EPL
163,Lucas Moura,30,1.72,Brazil,9.0,40.0,Attack - Right Winger,27,right,Tottenham,2023-06-30,2018-01-31,4ComM,adidas,EPL
164,Harry Kane,29,1.88,England,90.0,150.0,Attack - Centre-Forward,10,right,Tottenham,2024-06-30,2011-01-01,CK66,Nike,EPL
165,Richarlison,26,1.84,Brazil,55.0,65.0,Attack - Centre-Forward,9,right,Tottenham,2027-06-30,2022-07-01,CAA Base Ltd,Nike,EPL
166,Nick Pope,31,1.98,England,18.0,18.0,Goalkeeper,22,right,Newcastle,2026-06-30,2022-07-01,CAA Stellar,,EPL
167,Martin Dúbravka,34,1.91,Slovakia,2.5,7.5,Goalkeeper,1,right,Newcastle,2025-06-30,2018-07-01,SPOCS Global Sports,,EPL
168,Loris Karius,29,1.91,Germany,1.5,12.0,Goalkeeper,18,right,Newcastle,2023-06-30,2022-09-12,ROGON,adidas,EPL
169,Mark Gillespie,31,1.91,England,0.3,0.5,Goalkeeper,29,right,Newcastle,2023-06-30,2020-07-03,SMI Sports ...,,EPL
170,Sven Botman,23,1.95,Netherlands,45.0,45.0,Defender - Centre-Back,4,left,Newcastle,2027-06-30,2022-07-01,Muy Manero,Nike,EPL
171,Dan Burn,31,2.01,England,12.0,12.0,Defender - Centre-Back,33,left,Newcastle,2024-06-30,2022-01-31,,,EPL
172,Fabian Schär,31,1.86,Switzerland,10.0,16.0,Defender - Centre-Back,5,right,Newcastle,2024-06-30,2018-07-26,Sports360 GmbH,Puma,EPL
173,Jamaal Lascelles,29,1.88,England Barbados,7.0,18.0,Defender - Centre-Back,6,right,Newcastle,2024-06-30,2014-08-09,Unique Sports Group,Nike,EPL
174,Matt Targett,27,1.83,England Scotland,15.0,17.0,Defender - Left-Back,13,left,Newcastle,2026-06-30,2022-07-01,Straight Ace Sports,,EPL
